,username,post_url,caption,likes,comments,timestamp
0,earn_money_online_0.7,CQSk_2cBx0L,,70,0,2021-06-19 05:37:24
1,boobeshjustin,CnFb-PuShNJ,Don't waste time for fake people's,2,0,2023-01-06 19:10:28
2,hp27494832017,BdAwGDvHJmN,,19,1,2017-12-22 16:46:56
3,hp27494832017,Bc2LYqUHthz,,20,2,2017-12-18 14:13:45
4,hp27494832017,Bcbt7mHn-w0,,15,0,2017-12-08 07:36:08
5,hp27494832017,BcWqaNAn3aE,,15,0,2017-12-06 08:29:09
6,hp27494832017,Bbmunu8HBio,hiteshshah,21,2,2017-11-17 17:42:24
7,hp27494832017,BbbXI5pHxcB,,14,0,2017-11-13 07:45:34
8,hp27494832017,BbDmF3WHdox,,12,0,2017-11-04 02:14:27
9,rishirishi4384,C4XbDtTS6VV,,50,2,2024-03-11 07:42:31
10,rishirishi4384,C4N3rV6y6ZG,,56,2,2024-03-07 14:40:11
11,rishirishi4384,C2t_NsqSIyp,,55,3,2024-01-30 08:58:57
12,rishirishi4384,C2WQUDbS22J,,53,1,2024-01-21 03:46:36
13,rishirishi4384,C2R8a8VyVv9,,62,1,2024-01-19 11:35:49
14,rishirishi4384,C2DAZvpyC-h,,68,3,2024-01-13 16:21:59
15,rishirishi4384,C0A_c2TyJlH,,30,0,2023-11-24 04:34:05
16,rishirishi4384,CzgN8L5yNet,,45,1,2023-11-11 11:04:05
17,rishirishi4384,CzbaZ0RS8S8,,57,1,2023-11-09 14:16:47
18,rishirishi4384,Cy9xOo6SeSH,,70,4,2023-10-29 01:59:01
19,rishirishi4384,Cy8nIS2SWMn,,61,5,2023-10-28 15:11:32
20,rishirishi4384,Cv4Sss9ybLf,,56,2,2023-08-13 09:21:51
21,rishirishi4384,CvtpgB8AvZQ,,50,1,2023-08-09 06:15:50
22,rishirishi4384,CuyFxnfSl8Q,,64,4,2023-07-17 03:02:05
23,rishirishi4384,CpJr77QSrbs,,39,1,2023-02-27 03:49:43
24,rishirishi4384,Co_zglfA0Yc,,23,0,2023-02-23 09:49:52
25,rishirishi4384,Co9I6ukSvEC,,53,0,2023-02-22 06:52:50
26,rishirishi4384,Co4EqZay0q-,,42,0,2023-02-20 07:39:27
27,rishirishi4384,Co1OpFgy9gw,,49,1,2023-02-19 05:08:56
28,rishirishi4384,Coy_QIUSBvk,,47,2,2023-02-18 08:15:58
29,rishirishi4384,CowJ8uBy2cF,,56,2,2023-02-17 05:51:43
30,rishirishi4384,Ck0X-qGypv1,,40,0,2022-11-11 11:05:42
31,rishirishi4384,CiX6FO3vfpX,,32,1,2022-09-11 16:42:56
32,rishirishi4384,CiNajidPZHR,,35,0,2022-09-07 14:55:03
33,rishirishi4384,CiJ3LsTghYh,,22,0,2022-09-06 05:49:10
34,rishirishi4384,Ch1DuvroHcH,,36,2,2022-08-29 03:53:49
35,rishirishi4384,ChvuMr2I8yD,,34,0,2022-08-27 02:09:28
36,rishirishi4384,ChpX5nLvZHr,,36,0,2022-08-24 14:59:11
37,rishirishi4384,ChOI812vG7b,,44,3,2022-08-14 01:09:03
38,rishirishi4384,Cc7asKuAtG8,,29,0,2022-04-29 08:44:49
39,rishirishi4384,CcSGEyjgBz7,,19,0,2022-04-13 07:34:39
40,rishirishi4384,CcIfh0-PvER,,34,0,2022-04-09 13:53:56
41,rishirishi4384,CcIe3DNIuRn,,40,0,2022-04-09 13:48:05
42,rishirishi4384,CcDk_2Xv3jD,,42,2,2022-04-07 16:05:31
43,rishirishi4384,CPKix_6D86-,,45,0,2021-05-22 06:12:43
44,rishirishi4384,CPKifUSjfNO,,40,0,2021-05-22 06:10:10
45,rishirishi4384,CPKiMexjFH4,,43,0,2021-05-22 06:07:35
46,rishirishi4384,CPKh33_jtyD,,52,2,2021-05-22 06:04:46
